step,pair,hasManifold,contactCount,penetration,normalX,normalY,normalZ,hasOrientedManifold,orientedContactCount,orientedPenetration,orientedNormalX,orientedNormalY,orientedNormalZ,axisContact,axisPenetration,axisIndex,firstUpY,secondUpY,firstPositionX,firstPositionY,secondPositionX,secondPositionY
3,box02-box03,true,4,0.0018782616,0,-1,0,true,4,0.0016350746,0.00013985293,-1,0.00010338388,true,0.0018782616,1,1,0.99999994,0.00038642582,1.495419,0.00023846157,2.4939096
3,box02-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999994,0.00038642582,1.495419,-0.00013121488,3.4933026
3,box03-box04,true,4,0.0011290312,0,-1,0,true,4,0.00063854456,0.00037182058,-0.99999994,0.00012280724,true,0.0011290312,1,0.99999994,0.99999994,0.00023846157,2.4939096,-0.00013121488,3.4933026
4,ground-box01,true,4,0,0,-1,0,true,4,0,-0,-1,-0,true,0,1,1,0.99999994,0,-0.5,0.00020435844,0.5002227
4,ground-box02,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.99999994,0,-0.5,0.0005783709,1.4937857
4,ground-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.9999998,0,-0.5,0.0004733893,2.4916718
4,ground-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,1,0.9999995,0,-0.5,-0.00022787295,3.490621
4,box01-box02,true,4,0.0068730116,0,-1,0,true,4,0.006872773,-0.0004086533,-0.99999994,-3.6596368E-05,true,0.0068730116,1,0.99999994,0.99999994,0.00020435844,0.5002227,0.0005783709,1.4937857
4,box01-box03,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999994,0.9999998,0.00020435844,0.5002227,0.0004733893,2.4916718
4,box01-box04,false,0,0,0,0,0,false,0,0,0,0,0,false,0,-1,0.99999994,0.9999995,0.00020435844,0.5002227,-0.00022787295,3.490621
4,box02-box03,true,4,0.0027719736,0,-1,0,true,1,0.0023450851,0.00014035676,-0.99999994,0.00044516358,true,0.0027719736,1,0.99999994,0.9999998,0.0005783709,1.4937857,0.0004733893,2.4916718
