step,pairA,pairB,contactIndex,featureId,depth,offsetX,offsetY,offsetZ,normalX,normalY,normalZ
4,0,1,3,126,0.0015287629,-0.50009656,0.49834538,0.49998084,0.00019364101,-1,-5.810351E-05
4,1,2,0,109,0.0011248298,-0.49990562,0.49896088,-0.50000876,-9.5888485E-05,-1,1.755155E-05
4,1,2,1,111,0.0010853105,0.50009435,0.49882898,0.49999124,-9.5888485E-05,-1,1.755155E-05
4,1,2,2,126,0.001178378,-0.49990562,0.49892488,0.49999124,-9.5888485E-05,-1,1.755155E-05
4,1,2,3,47,0.0010317622,0.50009435,0.49886498,-0.50000876,-9.5888485E-05,-1,1.755155E-05
4,0,0,0,-4,0.001351176,-0.49990317,-0.4987166,-0.500029,-3.6674534E-13,1,0
4,0,0,1,-21,0.0012156385,0.5000968,-0.4987166,0.49997094,-3.6674534E-13,1,0
4,0,0,2,-5,0.0014092794,-0.49990317,-0.4987166,0.49997094,-3.6674534E-13,1,0
4,0,0,3,-20,0.0011575349,0.5000968,-0.4987166,-0.500029,-3.6674534E-13,1,0
5,2,3,0,-21,0.00073214766,0.5000436,0.49920624,0.50001794,-0.00018463742,-1,-3.58337E-05
5,2,3,1,109,0.0006749636,-0.49983153,0.49938664,-0.49994218,-0.00018463742,-1,-3.58337E-05
5,2,3,2,94,0.0007721859,0.5000436,0.49920204,-0.49994218,-0.00018463742,-1,-3.58337E-05
5,2,3,3,45,0.0006349253,-0.49983153,0.49939084,0.5000179,-0.00018463742,-1,-3.58337E-05
5,0,1,0,111,0.001974915,0.49981883,0.4980361,0.49999312,-9.279295E-05,-1,-7.283568E-05
5,0,1,1,-4,0.0018828188,-0.5000476,0.49810615,-0.49996373,-9.279295E-05,-1,-7.283568E-05
5,0,1,2,47,0.0020704519,0.49981883,0.49801338,-0.49996376,-9.279295E-05,-1,-7.283568E-05
5,0,1,3,126,0.001787282,-0.5000476,0.49812886,0.49999312,-9.279295E-05,-1,-7.283568E-05
5,1,2,0,-21,0.0013052133,0.50004625,0.49865973,0.49998868,-8.740293E-05,-1,2.270535E-05
5,1,2,1,109,0.0012520644,-0.49995363,0.498783,-0.50001127,-8.740293E-05,-1,2.270535E-05
5,1,2,2,-20,0.0012466743,0.50004625,0.49869558,-0.5000113,-8.740293E-05,-1,2.270535E-05
