step,pairA,pairB,contactIndex,featureId,depth,offsetX,offsetY,offsetZ,normalX,normalY,normalZ
32,0,0,2,-20,0.0002761032,0.5,-0.4997239,-0.49999997,-1.2386514E-09,1,0
32,0,0,3,-5,0.00027607422,-0.5,-0.4997239,0.5,-1.2386514E-09,1,0
33,0,1,0,62,-0.061475623,0.5,0.56147563,0.49999315,0,-1,2.0290795E-08
33,0,1,1,109,-0.061475646,0.4000013,0.56147563,-0.5,0,-1,2.0290795E-08
33,0,1,2,-20,-0.061475646,0.5,0.56147563,-0.5,0,-1,2.0290795E-08
33,0,1,3,126,-0.061475623,0.4000013,0.56147563,0.49999315,0,-1,2.0290795E-08
33,0,0,0,-21,0.00027607847,0.5,-0.4997239,0.5,-2.2427202E-10,1,0
33,0,0,1,-4,0.00027609896,-0.5,-0.4997239,-0.5,-2.2427202E-10,1,0
33,0,0,2,-20,0.00027609876,0.5,-0.4997239,-0.5,-2.2427202E-10,1,0
33,0,0,3,-5,0.00027607867,-0.5,-0.4997239,0.5,-2.2427202E-10,1,0
34,0,1,0,-20,0.0016555926,0.5003146,0.49796665,-0.5000196,-0.026486032,-0.9996492,2.5448531E-05
34,0,1,1,126,-4.4339336E-05,0.39036426,0.4997715,0.4996231,-0.026486032,-0.9996492,2.5448531E-05
34,0,1,2,109,-0.0011780895,0.3903648,0.5008798,-0.500018,-0.026486032,-0.9996492,2.5448531E-05
34,0,1,3,62,0.0027889488,0.5002988,0.49685875,0.49961993,-0.026486032,-0.9996492,2.5448531E-05
34,0,0,0,-21,0.0014542795,0.49964127,-0.49889874,0.5000054,5.612427E-12,1,0
34,0,0,1,-4,0.00074799266,-0.50037265,-0.49889874,-0.4999804,5.612427E-12,1,0
34,0,0,2,-20,0.0014793621,0.4996271,-0.49889874,-0.49999452,5.612427E-12,1,0
34,0,0,3,-5,0.00072291004,-0.50035846,-0.49889874,0.5000196,5.612427E-12,1,0
35,0,1,0,94,0.009066235,0.5004084,0.48940587,-0.4996394,-0.11187942,-0.9937218,0.0003111379
35,0,1,1,45,-0.0063211173,0.36448956,0.50540185,0.49984074,-0.11187942,-0.9937218,0.0003111379
