engine,step,time,body,positionX,positionY,positionZ,orientationX,orientationY,orientationZ,orientationW,linearVelocityX,linearVelocityY,linearVelocityZ,angularVelocityX,angularVelocityY,angularVelocityZ,linearForceApproxX,linearForceApproxY,linearForceApproxZ,angularForceApproxX,angularForceApproxY,angularForceApproxZ
bepu,4,0.06666667,sphere07,0,6.47275,-0.06,0,0,0,1,0,-0.65400004,0,0,0,0,0,-9.81,0,0,0,0
bepu,4,0.06666667,sphere08,0.08,7.47275,0.06,0,0,0,1,0,-0.65400004,0,0,0,0,0,-9.81,0,0,0,0
bepu,5,0.083333336,sphere01,0.00056227896,0.49825105,-0.06053778,-0.0004499875,0.00010754578,-0.0006330999,0.9999997,0.023387324,-0.02887106,-0.023583476,-0.04219199,0.012741537,-0.050992593,0.99034584,0.4151248,-0.8140212,-1.5250598,0.7571499,-2.0830941
bepu,5,0.083333336,sphere02,0.08194617,1.4848766,0.06229293,0.0039091567,-0.00013115752,-0.0011679347,0.9999917,0.06921511,-0.089789644,0.08891497,0.28100193,-0.007077798,-0.04813825,1.6077603,1.0373027,2.949052,8.940038,-0.074162096,1.0893521
bepu,5,0.083333336,sphere03,-0.00010445558,2.4794116,0.062193286,-0.0038805222,-0.00053202617,0.003523015,0.9999861,-0.0062156664,-0.15620098,0.09183893,-0.26726538,-0.047171377,0.20052889,-0.026471306,0.41411605,3.7335725,-7.179244,-2.0638623,1.9719832
bepu,5,0.083333336,sphere04,0.07993997,3.4675324,-0.06082959,-0.00048134662,-0.000184029,-0.001830162,0.9999982,-0.003601953,-0.31306395,-0.04977543,-0.057761624,-0.022083491,-0.21961956,-0.21611716,20.456165,-2.9865255,-3.4656973,-1.3250093,-13.177173
bepu,5,0.083333336,sphere05,0,4.459125,0.06,0,0,0,1,0,-0.81750005,0,0,0,0,0,-9.81,0,0,0,0
bepu,5,0.083333336,sphere06,0.08,5.459125,0.06,0,0,0,1,0,-0.81750005,0,0,0,0,0,-9.81,0,0,0,0
bepu,5,0.083333336,sphere07,0,6.459125,-0.06,0,0,0,1,0,-0.81750005,0,0,0,0,0,-9.81,0,0,0,0
bepu,5,0.083333336,sphere08,0.08,7.459125,0.06,0,0,0,1,0,-0.81750005,0,0,0,0,0,-9.81,0,0,0,0
bepu,6,0.10000001,sphere01,0.0013791237,0.49768493,-0.061276894,-0.0011221835,0.0003961812,-0.0015113467,0.99999815,0.049010675,-0.03396757,-0.04434665,-0.080652975,0.034639902,-0.105396606,1.537401,-0.30579057,-1.2457904,-2.307659,1.3139019,-3.2642405
bepu,6,0.10000001,sphere02,0.08364906,1.4829943,0.065086305,0.008285849,-0.00010963444,-0.0012160004,0.99996495,0.102173276,-0.112936154,0.16760238,0.52521676,0.0019914778,-0.005692623,1.9774898,-1.3887905,4.7212443,14.652889,0.5441565,2.5467374
bepu,6,0.10000001,sphere03,-0.00033914123,2.4760795,0.06461872,-0.008563343,-0.0011824265,0.005464109,0.9999478,-0.014081138,-0.19992338,0.145526,-0.5617999,-0.07912554,0.23294914,-0.47192827,-2.6233442,3.2212243,-17.67207,-1.9172496,1.9452147
bepu,6,0.10000001,sphere04,0.07972324,3.4625545,-0.062656865,-0.00033456273,-0.00068572845,-0.0037345733,0.9999927,-0.013003843,-0.2986831,-0.109636605,0.017545601,-0.060346212,-0.22849804,-0.5641133,0.8628505,-3.5916703,4.5184336,-2.2957633,-0.53270906
bepu,6,0.10000001,sphere05,0.00036448575,4.4502378,0.059738863,0.0018415865,-2.695621E-06,0.001485354,0.9999972,0.021869143,-0.5332398,-0.015668187,0.22099057,-0.00032347481,0.17824264,1.3121486,17.055616,-0.9400912,13.259434,-0.019408489,10.694558
bepu,6,0.10000001,sphere06,0.079817414,5.446429,0.06043458,-0.0010864516,8.691613E-05,-0.0011872165,0.9999987,-0.010954815,-0.76177025,0.026074845,-0.13037422,0.010429938,-0.14246602,-0.65728885,3.3437881,1.5644907,-7.822453,0.62579626,-8.547961
bepu,6,0.10000001,sphere07,0,6.4427752,-0.06,0,0,0,1,0,-0.98100007,0,0,0,0,0,-9.81,0,0,0,0
bepu,6,0.10000001,sphere08,0.08,7.4427752,0.06,0,0,0,1,0,-0.98100007,0,0,0,0,0,-9.81,0,0,0,0
bepu,7,0.116666675,sphere01,0.0027645228,0.4972017,-0.062437322,-0.002220938,0.0009437882,-0.0029558332,0.9999928,0.083123945,-0.028993333,-0.069625564,-0.13182038,0.06571774,-0.1733606,2.046796,0.2984542,-1.5167348,-3.0700443,1.8646703,-4.0778394
bepu,7,0.116666675,sphere02,0.0860512,1.4808223,0.069567345,0.015281186,7.2821684E-05,-0.00078620925,0.99988294,0.1441283,-0.13032043,0.26886237,0.83952034,0.020444954,0.051835034,2.5173008,-1.0430565,6.075599,18.858213,1.1072085,3.4516592
bepu,7,0.116666675,sphere03,-0.0007753974,2.4726422,0.06823329,-0.016355596,-0.0021997716,0.007820097,0.9998333,-0.026175367,-0.20623247,0.21687391,-0.9348168,-0.12478094,0.28272173,-0.72565365,-0.3785455,4.2808743,-22.381012,-2.7393239,2.9863553
bepu,7,0.116666675,sphere04,0.07967705,3.4572353,-0.06631409,-0.00018683232,-0.0015648627,-0.0063119326,0.9999789,-0.0027711107,-0.31915066,-0.2194333,0.017545087,-0.10566627,-0.30923998,0.61396384,-1.2280529,-6.587801,-3.0845404E-05,-2.7192035,-4.8445163
bepu,7,0.116666675,sphere05,0.0005296682,4.4432974,0.05973689,0.005533637,-0.00014508975,0.0037450024,0.9999777,0.009910943,-0.41642395,-0.00011845841,0.44307515,-0.016928587,0.2711311,-0.717492,7.0089498,0.9329837,13.325074,-0.9963067,5.5733075
